QUERYID,CASE_NUM,CASE_YEAR,REGN_CNTY_CDE,COMP_MUNI,MUNITYPE,REF_MRKR,ATINTERSECTION_IND,COMPX,COMPY,ACC_DATE,ACCD_TME,DMV_ACCD_CLSF,NUM_OF_INJURIES,NUM_OF_FATALITIES,NUM_OF_VEH,ACCD_TYP,COLLISION_TYP,TRAF_CNTL,LIGHT_COND,WEATHER,ROAD_SURF_COND
6836 ,34066267,2011 ,MONROE,Rochester,,,Y,292883 ,4781687 , 10/26/2011,6:50 PM,INJURY,1 ,0 ,1 ,COLLISION WITH PEDESTRIAN,OTHER,TRAFFIC SIGNAL,DARK-ROAD LIGHTED,RAIN,WET
6836 ,34066292,2011 ,MONROE,Wheatland,,,N,271002 ,4768703 , 10/21/2011,2:43 PM,PROPERTY DAMAGE AND INJURY,4 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,NONE,DAYLIGHT,CLOUDY,DRY
6836 ,34066471,2011 ,MONROE,Rochester,,,Y,292342 ,4780440 , 10/25/2011,5:04 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,LEFT TURN (AGAINST OTHER CAR),NONE,DAYLIGHT,RAIN,WET
6836 ,34067695,2011 ,MONROE,Rochester,,490I43022003,N,283093 ,4781761 , 10/24/2011,3:54 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,1 ,COLLISION WITH GUIDE RAIL,OTHER,NONE,DAYLIGHT,RAIN,WET
6836 ,34067697,2011 ,MONROE,Webster,,,N,297536 ,4787663 , 10/25/2011,7:16 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,NONE,DAYLIGHT,CLEAR,DRY
6836 ,34067698,2011 ,MONROE,Rochester,,390I43036001,N,283621 ,4778629 , 10/28/2011,7:32 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,NONE,DAYLIGHT,CLEAR,DRY
6836 ,34067702,2011 ,MONROE,Rochester,,490I43022044,N,288816 ,4779895 , 10/29/2011,3:07 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,1 ,COLLISION WITH OTHER BARRIER,OTHER,NONE,DARK-ROAD LIGHTED,CLEAR,DRY
6836 ,34068692,2011 ,MONROE,Brighton,,252 43011047,Y,281952 ,4774551 , 10/16/2011,7:49 AM,PROPERTY DAMAGE AND INJURY,2 ,0 ,3 ,COLLISION WITH MOTOR VEHICLE,OTHER,TRAFFIC SIGNAL,DAYLIGHT,CLEAR,DRY
6836 ,34069146,2011 ,MONROE,Rochester,,,N,286582 ,4782766 , 10/06/2011,4:00 PM,INJURY,1 ,0 ,3 ,COLLISION WITH MOTOR VEHICLE,OTHER,NONE,DAYLIGHT,CLEAR,DRY
6836 ,34069228,2011 ,MONROE,Rochester,,,N,289420 ,4780080 , 10/05/2011,4:35 PM,INJURY,1 ,0 ,1 ,COLLISION WITH BICYCLIST,OTHER,NONE,DAYLIGHT,CLEAR,DRY
